"period","zone","group","measure","value"
"2003-2005","S01001792","Former Smoker","Ratio","7.14"
"2001-2003","S01001792","Current Smoker","Ratio",0
"2008-2010","S01001792","Former Smoker","Ratio","3.57"
"2006-2008","S01001792","Not Known If Smoking","Ratio",0
"2010-2012","S01001792","Former Smoker","Ratio","25.93"
"2011-2013","S01001792","Former Smoker","Ratio","25.93"
"2006-2008","S01001792","Former Smoker","Ratio","7.41"
"2001-2003","S01001792","Former Smoker","Ratio","6.67"
"2007-2009","S01001792","Current Smoker","Ratio","10.71"
"2009-2011","S01001792","Former Smoker","Ratio","15.38"
"2010-2012","S01001792","Current Smoker","Ratio","3.7"
"2002-2004","S01001792","Never Smoked","Ratio","73.33"
"2007-2009","S01001792","Never Smoked","Ratio","78.57"
"2007-2009","S01001792","Not Known If Smoking","Ratio","7.14"
"2008-2010","S01001792","Not Known If Smoking","Ratio","17.86"
"2011-2013","S01001792","Current Smoker","Ratio","3.7"
"2008-2010","S01001792","Never Smoked","Ratio","67.86"
"2009-2011","S01001792","Never Smoked","Ratio","57.69"
"2000-2002","S01001792","Never Smoked","Ratio","80.95"
"2008-2010","S01001792","Current Smoker","Ratio","10.71"
"2003-2005","S01001792","Never Smoked","Ratio","78.57"
"2009-2011","S01001792","Not Known If Smoking","Ratio","19.23"
"2010-2012","S01001792","Not Known If Smoking","Ratio","11.11"
"2004-2006","S01001792","Never Smoked","Ratio","79.17"
"2000-2002","S01001792","Current Smoker","Ratio",0
"2002-2004","S01001792","Current Smoker","Ratio","6.67"
"2001-2003","S01001792","Never Smoked","Ratio","73.33"
"2000-2002","S01001792","Not Known If Smoking","Ratio","14.29"
"2010-2012","S01001792","Never Smoked","Ratio","59.26"
"2005-2007","S01001792","Never Smoked","Ratio","82.61"
"2006-2008","S01001792","Never Smoked","Ratio","81.48"
"2004-2006","S01001792","Current Smoker","Ratio","12.5"
"2011-2013","S01001792","Never Smoked","Ratio","70.37"
"2011-2013","S01001792","Not Known If Smoking","Ratio",0
"2001-2003","S01001793","Former Smoker","Count",1
"2004-2006","S01001793","Former Smoker","Count",1
"2000-2002","S01001793","Former Smoker","Count",3
"2009-2011","S01001793","Former Smoker","Count",2
"2002-2004","S01001793","Former Smoker","Count",2
"2007-2009","S01001793","Former Smoker","Count",1
"2005-2007","S01001793","Former Smoker","Count",0
"2008-2010","S01001793","Former Smoker","Count",2
"2010-2012","S01001793","Former Smoker","Count",5
"2003-2005","S01001793","Former Smoker","Count",1
"2011-2013","S01001793","Former Smoker","Count",7
"2006-2008","S01001793","Former Smoker","Count",1
"2009-2011","S01001793","Never Smoked","Count",20
"2002-2004","S01001793","Never Smoked","Count",27
"2007-2009","S01001793","Never Smoked","Count",23
"2008-2010","S01001793","Never Smoked","Count",19
"2000-2002","S01001793","Never Smoked","Count",25
"2003-2005","S01001793","Never Smoked","Count",27
"2004-2006","S01001793","Never Smoked","Count",25
"2001-2003","S01001793","Never Smoked","Count",28
"2011-2013","S01001793","Never Smoked","Count",14
"2005-2007","S01001793","Never Smoked","Count",27
"2006-2008","S01001793","Never Smoked","Count",20
"2010-2012","S01001793","Never Smoked","Count",14
"2001-2003","S01001793","Not Known If Smoking","Count",4
"2002-2004","S01001793","Not Known If Smoking","Count",3
"2003-2005","S01001793","Not Known If Smoking","Count",2
"2004-2006","S01001793","Not Known If Smoking","Count",1
"2005-2007","S01001793","Not Known If Smoking","Count",1
"2006-2008","S01001793","Not Known If Smoking","Count",1
"2007-2009","S01001793","Not Known If Smoking","Count",3
"2008-2010","S01001793","Not Known If Smoking","Count",3
"2009-2011","S01001793","Not Known If Smoking","Count",3
"2010-2012","S01001793","Not Known If Smoking","Count",1
"2000-2002","S01001793","Not Known If Smoking","Count",3
"2011-2013","S01001793","Not Known If Smoking","Count",0
"2006-2008","S01001793","Current Smoker","Count",1
"2002-2004","S01001793","Current Smoker","Count",3
"2005-2007","S01001793","Current Smoker","Count",1
"2010-2012","S01001793","Current Smoker","Count",0
"2000-2002","S01001793","Current Smoker","Count",0
"2004-2006","S01001793","Current Smoker","Count",2
"2003-2005","S01001793","Current Smoker","Count",3
"2001-2003","S01001793","Current Smoker","Count",1
"2011-2013","S01001793","Current Smoker","Count",0
"2008-2010","S01001793","Current Smoker","Count",0
"2009-2011","S01001793","Current Smoker","Count",0
"2007-2009","S01001793","Current Smoker","Count",1
"2001-2003","S01001793","Not Known If Smoking","Ratio","11.76"
"2000-2002","S01001793","Former Smoker","Ratio","9.68"
"2003-2005","S01001793","Current Smoker","Ratio","9.09"
"2004-2006","S01001793","Former Smoker","Ratio","3.45"
"2002-2004","S01001793","Not Known If Smoking","Ratio","8.57"
"2009-2011","S01001793","Current Smoker","Ratio",0
"2007-2009","S01001793","Former Smoker","Ratio","3.57"
"2006-2008","S01001793","Current Smoker","Ratio","4.35"
"2003-2005","S01001793","Not Known If Smoking","Ratio","6.06"
"2004-2006","S01001793","Not Known If Smoking","Ratio","3.45"
"2005-2007","S01001793","Current Smoker","Ratio","3.45"
"2002-2004","S01001793","Former Smoker","Ratio","5.71"
"2005-2007","S01001793","Not Known If Smoking","Ratio","3.45"
"2005-2007","S01001793","Former Smoker","Ratio",0
"2003-2005","S01001793","Former Smoker","Ratio","3.03"
"2001-2003","S01001793","Current Smoker","Ratio","2.94"
"2008-2010","S01001793","Former Smoker","Ratio","8.33"
"2006-2008","S01001793","Not Known If Smoking","Ratio","4.35"
"2010-2012","S01001793","Former Smoker","Ratio",25
"2011-2013","S01001793","Former Smoker","Ratio","33.33"
"2006-2008","S01001793","Former Smoker","Ratio","4.35"
"2001-2003","S01001793","Former Smoker","Ratio","2.94"
"2007-2009","S01001793","Current Smoker","Ratio","3.57"
"2009-2011","S01001793","Former Smoker","Ratio",8
"2010-2012","S01001793","Current Smoker","Ratio",0
"2002-2004","S01001793","Never Smoked","Ratio","77.14"
"2007-2009","S01001793","Never Smoked","Ratio","82.14"
"2007-2009","S01001793","Not Known If Smoking","Ratio","10.71"
"2008-2010","S01001793","Not Known If Smoking","Ratio","12.5"
"2011-2013","S01001793","Current Smoker","Ratio",0
"2008-2010","S01001793","Never Smoked","Ratio","79.17"
"2009-2011","S01001793","Never Smoked","Ratio",80
"2000-2002","S01001793","Never Smoked","Ratio","80.65"
"2008-2010","S01001793","Current Smoker","Ratio",0
"2003-2005","S01001793","Never Smoked","Ratio","81.82"
"2009-2011","S01001793","Not Known If Smoking","Ratio",12
"2010-2012","S01001793","Not Known If Smoking","Ratio",5
"2004-2006","S01001793","Never Smoked","Ratio","86.21"
"2000-2002","S01001793","Current Smoker","Ratio",0
"2002-2004","S01001793","Current Smoker","Ratio","8.57"
"2001-2003","S01001793","Never Smoked","Ratio","82.35"
"2000-2002","S01001793","Not Known If Smoking","Ratio","9.68"
"2010-2012","S01001793","Never Smoked","Ratio",70
"2005-2007","S01001793","Never Smoked","Ratio","93.1"
"2006-2008","S01001793","Never Smoked","Ratio","86.96"
"2004-2006","S01001793","Current Smoker","Ratio","6.9"
"2011-2013","S01001793","Never Smoked","Ratio","66.67"
"2011-2013","S01001793","Not Known If Smoking","Ratio",0
"2001-2003","S01001794","Former Smoker","Count",0
"2004-2006","S01001794","Former Smoker","Count",1
"2000-2002","S01001794","Former Smoker","Count",0
"2009-2011","S01001794","Former Smoker","Count",1
"2002-2004","S01001794","Former Smoker","Count",0
"2007-2009","S01001794","Former Smoker","Count",0
"2005-2007","S01001794","Former Smoker","Count",1
"2008-2010","S01001794","Former Smoker","Count",0
"2010-2012","S01001794","Former Smoker","Count",2
"2003-2005","S01001794","Former Smoker","Count",0
"2011-2013","S01001794","Former Smoker","Count",4
"2006-2008","S01001794","Former Smoker","Count",1
"2009-2011","S01001794","Never Smoked","Count",13
"2002-2004","S01001794","Never Smoked","Count",15
"2007-2009","S01001794","Never Smoked","Count",21
"2008-2010","S01001794","Never Smoked","Count",19
"2000-2002","S01001794","Never Smoked","Count",13
"2003-2005","S01001794","Never Smoked","Count",16
"2004-2006","S01001794","Never Smoked","Count",19
"2001-2003","S01001794","Never Smoked","Count",10
"2011-2013","S01001794","Never Smoked","Count",18
"2005-2007","S01001794","Never Smoked","Count",18
"2006-2008","S01001794","Never Smoked","Count",25
"2010-2012","S01001794","Never Smoked","Count",12
"2001-2003","S01001794","Not Known If Smoking","Count",3
"2002-2004","S01001794","Not Known If Smoking","Count",2
"2003-2005","S01001794","Not Known If Smoking","Count",1
"2004-2006","S01001794","Not Known If Smoking","Count",0
"2005-2007","S01001794","Not Known If Smoking","Count",1
"2006-2008","S01001794","Not Known If Smoking","Count",1
"2007-2009","S01001794","Not Known If Smoking","Count",1
"2008-2010","S01001794","Not Known If Smoking","Count",1
"2009-2011","S01001794","Not Known If Smoking","Count",1
"2010-2012","S01001794","Not Known If Smoking","Count",1
"2000-2002","S01001794","Not Known If Smoking","Count",6
"2011-2013","S01001794","Not Known If Smoking","Count",0
"2006-2008","S01001794","Current Smoker","Count",1
"2002-2004","S01001794","Current Smoker","Count",5
"2005-2007","S01001794","Current Smoker","Count",2
"2010-2012","S01001794","Current Smoker","Count",2
"2000-2002","S01001794","Current Smoker","Count",1
"2004-2006","S01001794","Current Smoker","Count",3
"2003-2005","S01001794","Current Smoker","Count",5
"2001-2003","S01001794","Current Smoker","Count",3
"2011-2013","S01001794","Current Smoker","Count",3
"2008-2010","S01001794","Current Smoker","Count",1
"2009-2011","S01001794","Current Smoker","Count",2
"2007-2009","S01001794","Current Smoker","Count",1
"2001-2003","S01001794","Not Known If Smoking","Ratio","18.75"
"2000-2002","S01001794","Former Smoker","Ratio",0
"2003-2005","S01001794","Current Smoker","Ratio","22.73"
"2004-2006","S01001794","Former Smoker","Ratio","4.35"
"2002-2004","S01001794","Not Known If Smoking","Ratio","9.09"
"2009-2011","S01001794","Current Smoker","Ratio","11.76"
"2007-2009","S01001794","Former Smoker","Ratio",0
"2006-2008","S01001794","Current Smoker","Ratio","3.57"
"2003-2005","S01001794","Not Known If Smoking","Ratio","4.55"
"2004-2006","S01001794","Not Known If Smoking","Ratio",0
"2005-2007","S01001794","Current Smoker","Ratio","9.09"
"2002-2004","S01001794","Former Smoker","Ratio",0
"2005-2007","S01001794","Not Known If Smoking","Ratio","4.55"
"2005-2007","S01001794","Former Smoker","Ratio","4.55"
"2003-2005","S01001794","Former Smoker","Ratio",0
"2001-2003","S01001794","Current Smoker","Ratio","18.75"
"2008-2010","S01001794","Former Smoker","Ratio",0
"2006-2008","S01001794","Not Known If Smoking","Ratio","3.57"
"2010-2012","S01001794","Former Smoker","Ratio","11.76"
"2011-2013","S01001794","Former Smoker","Ratio",16
"2006-2008","S01001794","Former Smoker","Ratio","3.57"
"2001-2003","S01001794","Former Smoker","Ratio",0
"2007-2009","S01001794","Current Smoker","Ratio","4.35"
"2009-2011","S01001794","Former Smoker","Ratio","5.88"
"2010-2012","S01001794","Current Smoker","Ratio","11.76"
"2002-2004","S01001794","Never Smoked","Ratio","68.18"
"2007-2009","S01001794","Never Smoked","Ratio","91.3"
"2007-2009","S01001794","Not Known If Smoking","Ratio","4.35"
"2008-2010","S01001794","Not Known If Smoking","Ratio","4.76"
"2011-2013","S01001794","Current Smoker","Ratio",12
"2008-2010","S01001794","Never Smoked","Ratio","90.48"
"2009-2011","S01001794","Never Smoked","Ratio","76.47"
"2000-2002","S01001794","Never Smoked","Ratio",65
"2008-2010","S01001794","Current Smoker","Ratio","4.76"
"2003-2005","S01001794","Never Smoked","Ratio","72.73"
"2009-2011","S01001794","Not Known If Smoking","Ratio","5.88"
"2010-2012","S01001794","Not Known If Smoking","Ratio","5.88"
"2004-2006","S01001794","Never Smoked","Ratio","82.61"
"2000-2002","S01001794","Current Smoker","Ratio",5
"2002-2004","S01001794","Current Smoker","Ratio","22.73"
"2001-2003","S01001794","Never Smoked","Ratio","62.5"
"2000-2002","S01001794","Not Known If Smoking","Ratio",30
"2010-2012","S01001794","Never Smoked","Ratio","70.59"
"2005-2007","S01001794","Never Smoked","Ratio","81.82"
"2006-2008","S01001794","Never Smoked","Ratio","89.29"
"2004-2006","S01001794","Current Smoker","Ratio","13.04"
"2011-2013","S01001794","Never Smoked","Ratio",72
"2011-2013","S01001794","Not Known If Smoking","Ratio",0
"2001-2003","S01001795","Former Smoker","Count",1
"2004-2006","S01001795","Former Smoker","Count",2
"2000-2002","S01001795","Former Smoker","Count",2
"2009-2011","S01001795","Former Smoker","Count",0
"2002-2004","S01001795","Former Smoker","Count",1
"2007-2009","S01001795","Former Smoker","Count",0
"2005-2007","S01001795","Former Smoker","Count",2
"2008-2010","S01001795","Former Smoker","Count",0
"2010-2012","S01001795","Former Smoker","Count",0
"2003-2005","S01001795","Former Smoker","Count",1
"2011-2013","S01001795","Former Smoker","Count",0
"2006-2008","S01001795","Former Smoker","Count",1
"2009-2011","S01001795","Never Smoked","Count",9
"2002-2004","S01001795","Never Smoked","Count",15
"2007-2009","S01001795","Never Smoked","Count",20
"2008-2010","S01001795","Never Smoked","Count",13
"2000-2002","S01001795","Never Smoked","Count",6
"2003-2005","S01001795","Never Smoked","Count",19
"2004-2006","S01001795","Never Smoked","Count",15
"2001-2003","S01001795","Never Smoked","Count",11
"2011-2013","S01001795","Never Smoked","Count",10
"2005-2007","S01001795","Never Smoked","Count",18
"2006-2008","S01001795","Never Smoked","Count",19
"2010-2012","S01001795","Never Smoked","Count",7
"2001-2003","S01001795","Not Known If Smoking","Count",11
"2002-2004","S01001795","Not Known If Smoking","Count",7
"2003-2005","S01001795","Not Known If Smoking","Count",2
"2004-2006","S01001795","Not Known If Smoking","Count",0
"2005-2007","S01001795","Not Known If Smoking","Count",1
"2006-2008","S01001795","Not Known If Smoking","Count",1
"2007-2009","S01001795","Not Known If Smoking","Count",1
"2008-2010","S01001795","Not Known If Smoking","Count",1
"2009-2011","S01001795","Not Known If Smoking","Count",1
"2010-2012","S01001795","Not Known If Smoking","Count",1
"2000-2002","S01001795","Not Known If Smoking","Count",11
"2011-2013","S01001795","Not Known If Smoking","Count",0
"2006-2008","S01001795","Current Smoker","Count",1
"2002-2004","S01001795","Current Smoker","Count",1
"2005-2007","S01001795","Current Smoker","Count",1
"2010-2012","S01001795","Current Smoker","Count",0
"2000-2002","S01001795","Current Smoker","Count",0
"2004-2006","S01001795","Current Smoker","Count",2
"2003-2005","S01001795","Current Smoker","Count",1
"2001-2003","S01001795","Current Smoker","Count",0
"2011-2013","S01001795","Current Smoker","Count",0
